user_id,friend_user_id
3925,278
3925,752
3925,527
3925,95
3925,2259
3925,1082
3925,187
3925,4544
3925,190
3925,328
3925,759
3925,1069
3925,1119
3925,99
3925,244
3925,686
3925,10903
3925,523
3925,836
3925,1184
3925,821
3925,427
3925,24
3925,9246
3925,828
3925,2008
3925,17536
3925,18023
3925,46
3925,45
3925,367
3925,780
3925,482
3925,1344
3925,996
3925,307
3925,3456
3925,12688
3925,669
3925,959
3925,733
3925,1134
3925,17452
3925,141
3925,4197
3925,562
3925,721
3925,5816
3925,520
3925,10941
3925,687
3925,556
3925,4933
3925,366
3925,1154
3925,10209
3925,286
3925,858
3925,2500
3925,8921
3925,84
3925,88
3925,6505
3925,3149
3925,2537
3925,999
3925,484
3925,3028
3925,1479
3925,12215
3925,595
3925,390
3925,603
3925,145
3925,1595
3925,5254
3925,3378
3925,1898
3925,1457
3925,2635
3925,1435
3925,1796
3925,2763
3925,8291
3925,9236
3925,4736
3925,2932
3925,8750
3925,4199
3925,6463
3925,7492
3925,3820
3925,8427
3925,8327
3925,49
3925,2489
3925,185
3925,97
3925,2609
3925,1122
3925,4187
3925,3083
3925,340
3925,369
3925,1266
3925,424
3925,255
3925,12753
3925,271
3925,1386
3925,1663
3925,2819
3925,876
3925,478
3925,8391
3925,1066
3925,7295
3925,6117
3925,6480
3925,13854
3925,110
3925,10327
3925,3580
3925,5414
3925,1485
3925,5017
3925,17702
7789,7782
7789,8638
1480,1628
1480,447
1480,1653
1480,3420
1480,2213
1480,380
1480,1426
1480,49
1480,2337
1480,1483
1480,512
1480,3324
1480,2438
1480,6500
1480,5880
1480,4430
1480,6076
1480,5537
1480,4860
1480,2108
1480,3157
1480,1906
1480,1233
1480,4813
1480,5491
1480,4736
1480,5414
1480,3870
1480,3928
1480,6302
1480,3802
1480,4964
1480,5346
1480,8148
1480,7001
1480,5799
1480,2400
1480,6155
1480,4327
1480,1191
1480,2533
1480,961
1480,1999
1480,1563
1480,4117
289,328
2995,2533
2995,6408
17536,52
17536,4933
17536,2856
17536,6073
17536,7995
17536,5765
17536,15
17536,7009
17536,3925
17536,46
72,2223
72,1772
72,16034
167,89
167,132
167,164
167,257
167,447
167,48
167,149
167,187
167,207
167,169
167,224
167,512
167,185
167,275
167,119
167,380
167,136
167,470
167,76
167,62
167,150
167,269
167,172
167,47
167,45
167,74
167,68
167,0
167,41
167,138
859,99
859,3485
859,816
859,4197
859,606
859,144
859,804
859,756
859,4140
859,9574
859,2907
859,7450
859,752
859,2533
859,1750
859,5017
859,517
859,845
859,13771
482,2810
482,5025
482,2763
482,2008
482,244
482,836
482,3580
482,2635
482,7874
482,4197
482,845
482,2907
482,12265
482,2533
482,6988
482,1294
482,11064
482,7492
482,15253
482,5987
482,4187
482,10629
482,11970
482,1323
482,1660
482,2819
482,3780
482,17061
482,868
482,2620
482,10479
482,9070
482,11412
482,3925
482,99
482,3683
482,17702
482,9866
482,13215
482,8488
482,10077
482,5996
482,5017
482,10626
482,190
482,5276
482,11998
482,8427
482,8884
482,6707
482,10874
482,11520
482,9608
482,14036
482,13771
482,7731
482,10871
41,78
41,65
41,3278
41,109
41,211
41,27
41,132
41,255
41,3028
41,24
41,127
41,11
41,177
41,2609
41,54
41,99
41,48
41,93
41,411
41,167
41,10
41,743
41,40
41,179
41,307
41,270
41,103
41,15
41,89
41,52
41,119
41,245
41,214
41,67
41,49
41,176
41,9085
41,46
10354,593
810,1459
810,1066
810,663
810,3153
810,3432
810,957
810,1641
810,2231
810,1367
810,3618
810,2165
810,3010
810,45
810,2099
810,1759
810,1402
810,1026
810,1923
810,1434
810,6612
810,821
810,814
810,2926
810,54
810,88
810,1710
810,2500
810,1795
810,2704
810,2872
810,185
810,6377
810,6076
810,961
810,1171
810,6271
810,440
810,4196
810,554
810,2024
810,1191
810,5405
810,4244
810,3298
810,3475
810,68
810,1999
810,3420
810,2284
810,1270
810,5089
810,4078
810,2846
810,2108
810,4923
810,2879
810,2335
810,1707
810,1184
810,1906
810,2438
810,7275
810,3353
810,452
810,3202
810,1245
810,4518
810,7874
810,1816
810,4730
810,3324
810,2276
810,2495
810,2318
810,3363
810,3157
810,8327
810,9564
810,5333
810,6155
810,6086
810,1750
810,4199
810,3599
810,3253
810,3014
810,602
810,1233
810,2196
810,7274
810,4860
810,6773
810,14935
810,871
810,1282
810,3394
810,7263
810,8052
810,1631
810,1590
810,9265
810,14199
810,624
810,7450
810,13228
810,9550
810,3184
810,7251
810,6463
810,6261
810,8647
810,9916
810,16145
810,7008
810,7090
810,9704
810,605
810,1729
810,1006
810,1811
810,11589
810,10820
810,15229
810,1754
810,7334
810,11412
810,7880
810,5256
810,6534
810,1461
810,1504
810,4736
810,3433
810,5890
810,1646
810,2647
810,1277
810,5346
810,6396
810,1905
810,4687
810,84
810,4511
810,13294
810,1681
810,1275
810,9971
810,4964
810,816
810,7393
810,993
810,11530
810,3223
810,8788
810,12829
810,10559
810,344
810,5647
810,15658
810,5017
810,4138
8053,8493
7295,16034
7295,3925
7295,15184
7295,8398
7295,2810
7295,2268
7295,2852
7295,5491
7295,3324
7295,1750
7295,2364
7295,9866
7295,6117
7295,3599
7295,697
7295,4860
7295,5205
7295,9574
7295,8388
7295,1275
7295,10654
7295,6261
7295,9550
7295,11064
7295,11412
7295,3128
7295,13215
7295,12164
7295,2223
7295,2872
7295,5282
7295,3010
7295,8148
7295,1233
7295,11401
7295,17219
7295,8594
7295,6078
7295,10559
7295,8788
7295,5961
1915,1301
1915,595
1915,686
1915,1018
1915,752
1915,500
1915,16795
1915,1367
1915,16790
1915,141
1915,4197
1915,1641
1915,1431
1915,1344
1915,620
1915,836
1915,1363
1915,4641
1915,1952
1915,1898
1915,7512
1915,3544
1915,3579
1915,1660
1915,4106
1915,804
1915,190
1915,244
1915,676
1915,2819
1915,149
1915,1457
1915,5479
1915,113
1915,12722
1915,735
1915,845
9645,3086
9645,8407
9645,3175
9645,5765
9645,12721
9645,8631
